country	n_workers
Austria	12788000
Belgium	14718000
Bulgaria	9811000
Croatia	5559000
Cyprus	1234000
Czechia	15574000
Denmark	8399000
Estonia	1956000
Finland	7764000
France	84758000
Germany	122234000
Greece	14185000
Hungary	13416000
Iceland	530000
Ireland	6592000
Italy	74792000
Japan	NA
Latvia	2888000
Lithuania	4296000
Luxembourg	815000
Malta	611000
Montenegro	787000
Netherlands	25556000
North Macedonia	2825000
Norway	7861000
Poland	51223000
Portugal	14790000
Romania	26434000
Serbia	9020000
Slovakia	8138000
Slovenia	2962000
Spain	68045000
Sweden	14952000
Switzerland	13551000
Turkey	84938000
United Kingdom	93876000
United States	NA
