country	density
Albania	100.1
Austria	104.9
Belgium	371.8
Bulgaria	66.2
Switzerland	207.1
Cyprus	92.0
Czechia	136.6
Germany	228.4
Denmark	132.4
Estonia	30.3
Greece	82.7
Spain	92.5
Finland	18.0
France	105.0
Croatia	74.4
Hungary	107.9
Ireland	68.5
Iceland	3.3
Italy	205.8
Liechtenstein	237.3
Lithuania	46.4
Luxembourg	220.3
Latvia	31.8
Montenegro	45.0
Macedonia	83.1
Malta	1408.4
Netherlands	503.1
Norway	17.1
Poland	123.6
Portugal	112.3
Romania	86.1
Sweden	24.1
Slovenia	102.4
Slovakia	110.6
Turkey	101.6
United Kingdom	268.5
