unit	population
Cyprus	1112.607
Europe	737163.58
Eastern Europe	294540.681
Belarus	9473.071
Bulgaria	7404.59
Czechia	10536.286
Hungary	9927.84
Poland	38323.402
Republic of Moldova	4084.481
Romania	20440.347
Russian Federation	143153.86899999998
Slovakia	5404.294
Ukraine	45792.501
Northern Europe	100313.727
Channel Islands	159.58100000000002
Denmark	5554.844
Estonia	1332.1019999999999
Faeroe Islands	48.55
Finland	5365.782
Iceland	320.328
Ireland	4626.928
Isle of Man	80.07199999999999
Latvia	2118.848
Lithuania	3123.8030000000003
Norway	4885.878
Sweden	9390.168
United Kingdom	63306.843
Southern Europe	153943.085
Albania	2940.525
Andorra	84.44900000000001
Bosnia and Herzegovina	3722.084
Croatia	4328.153
Gibraltar	33.189
Greece	11446.005
Holy See	0.7939999999999999
Italy	59729.807
Malta	416.11
Montenegro	624.2850000000001
Portugal	10652.321
San Marino	31.110000000000003
Serbia	9029.716
Slovenia	2045.168
Spain	46788.63
TFYR Macedonia	2070.739
Western Europe	188366.087
Austria	8409.949
Belgium	10938.739000000001
France	63026.74
Germany	80894.785
Liechtenstein	36.003
Luxembourg	507.889
Monaco	37.094
Netherlands	16682.917
Switzerland	7831.971
