state	density
Alabama	94.4
Alaska	1.2
Arizona	56.3
Arkansas	56
California	239.1
Colorado	48.5
Connecticut	738.1
Delaware	460.8
Florida	350.6
Georgia	168.4
Hawaii	211.8
Idaho	19
Illinois	231.1
Indiana	181
Iowa	54.5
Kansas	34.9
Kentucky	109.9
Louisiana	104.9
Maine	43.1
Maryland	594.8
Massachusetts	839.4
Michigan	174.8
Minnesota	66.6
Mississippi	63.2
Missouri	87.1
Montana	6.8
Nebraska	23.8
Nevada	24.6
New Hampshire	147
New Jersey	1195.5
New Mexico	17
New York	411.2
North Carolina	196.1
North Dakota	9.7
Ohio	282.3
Oklahoma	54.7
Oregon	39.9
Pennsylvania	283.9
Rhode Island	1018.1
South Carolina	153.9
South Dakota	10.7
Tennessee	153.9
Texas	96.3
Utah	33.6
Vermont	67.9
Virginia	202.6
Washington	101.2
West Virginia	77.1
Wisconsin	105
Wyoming	5.8
