state	temperature
Alabama	62.81626016260162
Alaska	32.67460317460318
Arizona	62.116216216216216
Arkansas	60.49478260869565
California	59.49644670050761
Colorado	46.01219512195122
Connecticut	49.611111111111114
Delaware	55.61
Florida	72.10406976744186
Georgia	63.17464788732394
Hawaii	71.715625
Idaho	45.71089743589744
Illinois	52.13620689655173
Indiana	51.97563025210084
Iowa	48.167808219178085
Kansas	54.5
Kentucky	55.994174757281556
Louisiana	66.69716981132075
Maine	42.554545454545455
Maryland	55.28103448275862
Massachusetts	48.374647887323945
Michigan	45.46714285714285
Minnesota	42.20483870967742
Mississippi	63.52772277227723
Missouri	54.96842105263158
Montana	43.71340996168583
Nebraska	49.25416666666667
Nevada	51.659541984732826
New Hampshire	44.31764705882353
New Jersey	52.644
New Mexico	54.092063492063495
New York	47.078857142857146
North Carolina	58.58888888888889
North Dakota	41.402255639097746
Ohio	51.2030303030303
Oklahoma	59.76433566433566
Oregon	50.005188679245286
Pennsylvania	49.732727272727274
Rhode Island	50.481818181818184
South Carolina	62.521153846153844
South Dakota	45.7
Tennessee	57.836666666666666
Texas	65.66071428571429
Utah	49.18361581920904
Vermont	43.25416666666666
Virginia	55.71923076923077
Washington	49.76234567901235
West Virginia	51.77247706422018
Wisconsin	44.273737373737376
Wyoming	43.32802547770701
